season,player_name,position_x,team_x,espn_rank,pct_championship_rosters,adp_overall,draft_status,season_ppr_points,espn_category,narrative_label,explicitly_named_league_winner,reasoning_paraphrase,inclusion_rule,coverage_type,article_title,article_author,article_publication_date,article_url,extraction_confidence,ambiguity_notes,player_norm,player,name,position_y,team_y,mean_adp,median_adp,n_drafts,abs_diff,signed_diff
2025,Courtland Sutton,WR,DEN,34,12.5,64.2,drafted,218.2,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,courtland sutton,13630,"Sutton, Courtland",WR,DEN,54.515625,53.0,128,9.684375000000003,-9.684375000000003
2025,Javonte Williams,RB,DAL,35,12.5,114.5,drafted,242.8,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,javonte williams,15256,"Williams, Javonte",RB,DAL,107.8,105.0,130,6.700000000000003,-6.700000000000003
2025,Jake Ferguson,TE,DAL,36,12.3,140.5,drafted,186.6,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jake ferguson,15799,"Ferguson, Jake",TE,DAL,136.78494623655914,136.0,93,3.7150537634408636,-3.7150537634408636
2025,Tyler Warren,TE,IND,37,12.3,100.3,drafted,180.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,tyler warren,17102,"Warren, Tyler",TE,IND,96.13385826771653,91.0,127,4.166141732283464,-4.166141732283464
2025,Dak Prescott,QB,DAL,38,12.2,113.4,drafted,313.08,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,dak prescott,12620,"Prescott, Dak",QB,DAL,87.04032258064517,89.5,124,26.35967741935484,-26.35967741935484
2025,Mike Evans,WR,TB,39,12.2,50.5,drafted,79.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,mike evans,11671,"Evans, Mike",WR,TBB,38.05072463768116,38.0,138,12.449275362318843,-12.449275362318843
2025,Zay Flowers,WR,BAL,40,11.9,60.7,drafted,213.5,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,zay flowers,16190,"Flowers, Zay",WR,BAL,61.50757575757576,58.5,132,0.807575757575755,0.807575757575755
2025,Dallas Goedert,TE,PHI,42,11.6,133.3,drafted,185.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,dallas goedert,13674,"Goedert, Dallas",TE,PHI,133.16483516483515,137.0,91,0.13516483516485778,-0.13516483516485778
2025,Joe Burrow,QB,CIN,43,11.5,34.1,drafted,113.32,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,joe burrow,14777,"Burrow, Joe",QB,CIN,25.210526315789473,25.0,114,8.889473684210529,-8.889473684210529
2025,RJ Harvey,RB,DEN,44,11.3,81.8,drafted,202.3,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,rj harvey,17068,"Harvey, RJ",RB,DEN,59.15151515151515,56.0,132,22.64848484848485,-22.64848484848485
2025,Rashee Rice,WR,KC,46,11.0,88.1,drafted,150.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,rashee rice,16194,"Rice, Rashee",WR,KCC,85.12,83.0,125,2.9799999999999898,-2.9799999999999898
2025,Omarion Hampton,RB,LAC,47,11.0,40.7,drafted,135.7,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,omarion hampton,17044,"Hampton, Omarion",RB,LAC,37.78125,37.0,128,2.918750000000003,-2.918750000000003
2025,A.J. Brown,WR,PHI,48,11.0,18.6,drafted,220.3,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,aj brown,14104,"Brown, A.J.",WR,PHI,25.77037037037037,26.0,135,7.170370370370367,7.170370370370367
2025,Emeka Egbuka,WR,TB,49,10.9,90.8,drafted,193.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,emeka egbuka,17081,"Egbuka, Emeka",WR,TBB,84.63076923076923,84.0,130,6.169230769230765,-6.169230769230765
2025,Drake London,WR,ATL,50,10.8,22.3,drafted,184.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,drake london,15751,"London, Drake",WR,ATL,25.901639344262296,25.0,122,3.6016393442622956,3.6016393442622956
